Headline,Link
NDTV,https://www.ndtv.com/#pfrom=ndtv-globalnav
World,https://www.ndtv.com/world/#pfrom=ndtv-globalnav
Profit,https://www.ndtvprofit.com/#pfrom=ndtv-globalnav
हिंदी,https://ndtv.in/#pfrom=ndtv-globalnav
Sports,https://sports.ndtv.com/#pfrom=ndtv-globalnav
MOVIES,https://www.ndtv.com/entertainment#pfrom=ndtv-globalnav
FOOD,https://food.ndtv.com/#pfrom=ndtv-globalnav
LIFESTYLE,https://www.ndtv.com/lifestyle#pfrom=ndtv-globalnav
HEALTH,https://doctor.ndtv.com/#pfrom=ndtv-globalnav
SWASTH,https://swachhindia.ndtv.com/#pfrom=ndtv-globalnav
